Wind speed,Output power,Nacelle temperature,Generator speed,Pitch motor temperature 1,Pitch motor temperature 2,Pitch motor temperature 3,Pitch angle 1,Pitch angle 2,Pitch angle 3,Pitch torque 1,Pitch torque 2,Pitch torque 3
6.05,530.5,4.1,1519,38,36,38,0,0,0,-8.56,-9.11,-10.43
6.07,552.5,2.9,1538.4,36,33,37,0,0,0,-6.92,-9.03,-10.87
6.06,571,4.4,1563.5,29,26,30,0,0,0,-10.26,-7.86,-10.8
6.05,532.8,4,1525.5,24,21,23,0,0,0,-12.08,-7.95,-9.13
6.02,592.3,3.4,1571,30,27,29,0,0,0,-11.04,-8.7,-10.3
6.01,598.6,2.8,1583.8,30,27,29,0,0,0,-10.7,-11.48,-11.54
6.05,599.1,2.7,1579,34,33,31,0,0,0,-13,-8.91,-11.76
6.06,598.4,2.9,1582.5,34,31,31,0,0,0,-12.69,-9.27,-12.38
6.03,576.5,4.1,1565,33,30,31,0,0,0,-13.32,-10.82,-11.53
6.03,548.4,3.2,1543.1,33,30,30,0,0,0,-9.02,-12.79,-8.54
6.09,572.6,3,1570.3,31,29,30,0,0,0,-11.41,-11.12,-11.12
6.09,541.6,1.8,1542.5,34,30,31,0,0,0,-13.1,-9.41,-10.59
6,515.3,2.3,1511.5,34,30,30,0,0,0,-11.8,-9.13,-7.77
6.18,571.4,0.2,1560.8,20,16,20,0,0,0,-10.25,-6.45,-9.66
6.14,552.4,4.4,1545.3,20,17,20,0,0,0,-9.72,-7.5,-11.16
